Country,State,Year,Emission_Type,Emission
United States,New York,1998,Fossil_CO2,15127.41265106
United States,North Carolina,1998,Fossil_CO2,12183.547589726
United States,North Dakota,1998,Fossil_CO2,22336.021278021
United States,Ohio,1998,Fossil_CO2,42479.88230809
United States,Oklahoma,1998,Fossil_CO2,25204.074468028
United States,Oregon,1998,Fossil_CO2,9102.4944924798
United States,Pennsylvania,1998,Fossil_CO2,31914.080713246
United States,Arkansas,1998,Fossil_CO2,20891.200172422
United States,Rhode Island,1998,Fossil_CO2,1085.9842232059
United States,South Carolina,1998,Fossil_CO2,14624.629676152
United States,South Dakota,1998,Fossil_CO2,1123.4774589797
United States,Tennessee,1998,Fossil_CO2,13236.241862792
United States,Texas,1998,Fossil_CO2,98142.772243447
United States,Utah,1998,Fossil_CO2,6569.3546887314
United States,Vermont,1998,Fossil_CO2,562.87162845703
United States,Virginia,1998,Fossil_CO2,14424.522248275
United States,Washington,1998,Fossil_CO2,22659.511114639
United States,West Virginia,1998,Fossil_CO2,8419.9274174791
United States,California,1998,Fossil_CO2,91377.611716293
United States,Wisconsin,1998,Fossil_CO2,14488.030907475
United States,Wyoming,1998,Fossil_CO2,3469.4314210875
United States,Colorado,1998,Fossil_CO2,11065.95595264
United States,Connecticut,1998,Fossil_CO2,2208.4864591488
United States,Delaware,1998,Fossil_CO2,7166.4482841513
United States,District of Columbia,1998,Fossil_CO2,192.95054084102
United States,Alabama,1999,Fossil_CO2,26497.547128079
United States,Florida,1999,Fossil_CO2,17781.932057056
United States,Georgia,1999,Fossil_CO2,27543.769783058
United States,Hawaii,1999,Fossil_CO2,2292.1299157928
United States,Idaho,1999,Fossil_CO2,2383.2226380883
United States,Illinois,1999,Fossil_CO2,38261.05914281
United States,Indiana,1999,Fossil_CO2,62620.218028238
United States,Iowa,1999,Fossil_CO2,21898.512617139
United States,Kansas,1999,Fossil_CO2,13902.283608205
United States,Kentucky,1999,Fossil_CO2,15916.605722663
United States,Louisiana,1999,Fossil_CO2,71445.630170959
United States,Alaska,1999,Fossil_CO2,9973.3373790034
United States,Maine,1999,Fossil_CO2,3019.2675868288
United States,Maryland,1999,Fossil_CO2,6102.2623615361
United States,Massachusetts,1999,Fossil_CO2,4153.5180714104
United States,Michigan,1999,Fossil_CO2,26460.934277532
United States,Minnesota,1999,Fossil_CO2,12030.474380563
United States,Mississippi,1999,Fossil_CO2,59201.727425364
United States,Missouri,1999,Fossil_CO2,11904.31707883
United States,Montana,1999,Fossil_CO2,4787.8385789314
United States,Nebraska,1999,Fossil_CO2,4382.8554699143
United States,Nevada,1999,Fossil_CO2,2618.7655330309
United States,Arizona,1999,Fossil_CO2,5833.7531453102
United States,New Hampshire,1999,Fossil_CO2,920.40068758007
United States,New Jersey,1999,Fossil_CO2,14033.168923366
United States,New Mexico,1999,Fossil_CO2,3769.6043857001
United States,New York,1999,Fossil_CO2,14791.715596388
United States,North Carolina,1999,Fossil_CO2,11845.555152324
United States,North Dakota,1999,Fossil_CO2,23858.16876544
United States,Ohio,1999,Fossil_CO2,38811.476209284
United States,Oklahoma,1999,Fossil_CO2,26051.491741627
United States,Oregon,1999,Fossil_CO2,9064.1450278168
United States,Pennsylvania,1999,Fossil_CO2,29766.775279591
United States,Arkansas,1999,Fossil_CO2,20141.275821375
United States,Rhode Island,1999,Fossil_CO2,1015.7760624399
United States,South Carolina,1999,Fossil_CO2,13416.87681851
United States,South Dakota,1999,Fossil_CO2,1057.110946595
United States,Tennessee,1999,Fossil_CO2,13121.480222522
United States,Texas,1999,Fossil_CO2,94532.599850852
United States,Utah,1999,Fossil_CO2,6183.2223236685
United States,Vermont,1999,Fossil_CO2,531.5458503198
United States,Virginia,1999,Fossil_CO2,13745.867534298
